安全な薬	
NP	"A16AA05カルグルミン酸その他 の消化管および代謝関連製品
カーバグル·カーグルミノウィ·カーグルミニハッポ· カーグルミニハポ ·カーグルミノウィ·クワス カルグルミノウィ·ウセダン"
NP	"A16AA06 ·ベタイン その他の消化管および代謝関連製品
アンベルシオ・ベタイン・シスタダン"
NP	"A16AB02・イミグルセラーゼ  その他の消化管および代謝関連製品
セレザイム・イミグルケラーゼ"
NP	"A16AB03 ·アガルシダーゼアルファ その他の消化管および代謝関連製品
アガルシダーゼアルファ・レプラガル"
NP	"A16AB04 ·アガルシダーゼベータ  その他の消化管および代謝関連製品
アガルシダーゼベータ・ファブラザイム"
NP	"A16AB05・ラロニダーゼ  その他の消化管および代謝関連製品
アルデュラザイム・ラロニダーゼ"
NP	"A16AB07 ·アルグルコシダーゼアルファ その他の消化管および代謝関連製品
アルグルコシダーゼアルファ・ミオザイム"
NP	"A16AB08 ·ガルサルファーゼ その他の消化管および代謝関連製品
ガルサルファーゼ・ナグラザイム"
NP	"A16AB09・イドゥルスルファーゼ  その他の消化管および代謝関連製品
エラプラーゼ・イドゥルサルファゼ"
PNP	"A16AX03 ·フェニル酪酸ナトリウム  その他の消化管および代謝関連製品
アンモナプス・ナトリウムフェニルブチラット・フェブラン"
NP	"A16AX05 ·酢酸亜鉛 その他の消化管および代謝関連製品
シンクアセタット・ウィルジン"
PNP	"A16AX06・ミグルスタット  その他の消化管および代謝関連製品
ミグルスタット、オプフォルダ、ヤルゲサ、ザベスカ"
PNP	"B01AA03 ·ワルファリン 抗血栓薬
アルドクマール·マレヴァン·マレヴァン フォルテ·ワルファリン·ワルフィン"
PNP	"B01AA04 ·フェンプロクモン 抗血栓薬
フェンプロクモン・マルクマール"
PNP	"B01AA07 ·アセノクマロール 抗血栓薬
アセノクマロール・アセノクマロール・シントローム"
NP	"B01AB01 ·ヘパリン 抗血栓薬
カルシパリナ・ヘパリン"
NP	"B01AB02 ·アンチトロンビン iii 抗血栓薬
アンビネックス・アンチトロンビン・アンチトロンビンIII・アテナティブ・キベルニン"
NP	"B01AB04 ·ダルテパリン 抗血栓薬
ダルテパリン・フラグミン"
NP	"B01AB05・エノキサパリン 抗血栓薬
クレキサン·クレキサンフォルテ·クルシア·エノキサパリン·エノキサパリン·エノキサパリンレドラキセン·エノキサパリンナトリウム·エノキサパリンナトリウムレドラキセン·ゲマクサン·インヒクサ·クレキサン·ロスミナ·ネオパリン·ネオパリンフォルテ·トリナン"
NP	"B01AB06 ·ナドロパリン 抗血栓薬
フラキシパリン・フラクソディ・ナドロパリン"
NP	"B01AB09 ·ダナパロイド 抗血栓薬
ダナパロイド・オルガラン"
NP	"B01AB10 ·チンザパリン 抗血栓薬
イノヘップ・チンザパリン"
PNP	"B01AC04 ·クロピドグレル 抗血栓薬
アグレゲックス、アレプレックス、クロピディックス、クロピドグレル、クロピマー、クロリオカード、グレピッド、イスカバー、クロピドグレル、マッドドグレル、ペゴレル、プラビックス、プラボコリン、トロンベックス、ヴァトゥード、ヴィクサム、ジルト"
PNP	"B01AC06・アセチルサリチル酸 抗血栓薬
アブレア·アカード·アカード コル·アセカルジン·アセサン·アセチルサリチル酸·アセチルサリチルシル·アセチルサリシルシル·アルビル-e ·アレプトン·アナカード プロテクト·アノピリン· asa ·アスピマグ·アスピリン·バルタル ·ボナカード·カルディアス·カルディオピリン·カルディオテバ·コクソール·ディスペリン·ユービオカード·ユーピリン·ヤルタマグニル·ジェルカティル·ジェルジル·ジェルテアルビル·ジェルテラン·ジェルテマグニル·カルデジック·レカルディ·ニューロアス· オルトロラ·プラスカード· ポロカード·プレビオカルディン·プリマスパン·プロフィカール"
NP	"B01AC07 ·ジピリダモール 抗血栓薬
アポノバ・ジピリダモール・ペルサンチン・ピラニストール"
PNP	"B01AC11・イロプロスト 抗血栓薬
イロメジン・イロプロスト・ベンタビス"
NP	"B01AC13 ·アブシキシマブ 抗血栓薬
アブシキシマブ"
NP	"B01AC16・エプチフィバチド 抗血栓薬
エプチフィバチド・エプチフィバチド・インテグリリン"
NP	"B01AC17 ·チロフィバン 抗血栓薬
アグラスタット・チロフィバン"
PNP	"B01AC21 ·トレプロスチニル 抗血栓薬
レモジュリン・トレポーサ・トレプロスチニル・トレパルミックス・トレスビ"
PNP	"B01AC22 ·プラスグレル 抗血栓薬
Bewim · Efient · Prafsia · Prasugrel · Sigrada · Ugramel"
PNP	"B01AC23 ·シロスタゾール 抗血栓薬
シロスタゾール・シロストップ・シロゼック・デシロサル・ノクラウド・ステップシル"
PNP	"B01AC24 ·チカグレロル 抗血栓薬
アティラボ·アティシャルソ·ブリリーク·クロアルクリル·エクグラ·イグゼリム·コガヴァント·クルサクシル·ラクラット·ルグレクス·オレブリトン·チカグレロル·チカトロム·ティグリクス·チカグレロル·ティコゼク·ティロブラスティル·ティスカード"
PNP	"B01AC30 · 抗血栓薬の配合剤
オーロクラサ·クロピドグレル / アセチルサリチル酸·ジプラソリン·ジピリダモール / アセチルサリチルシル·デュオプラビン·コンビナスヨナー·オリサンチン·カイダクサー"
NP	"B01AD01 ·ストレプトキナーゼ 抗血栓薬
ビオストレプタ・ディストレプタザ・ストレプトキナーゼ"
NP	"B01AD02・アルテプラーゼ 抗血栓薬
アクチリゼ・アルテプラーゼ"
NP	"B01AD04 ·ウロキナーゼ 抗血栓薬
ウロキナーゼ"
NP	"B01AD07・レテプラーゼ 抗血栓薬
ラピリシン・レテプラーゼ"
NP	"B01AD10 ·ドロトレコギンアルファ（活性型） 抗血栓薬
ドロトレコギン・アルファ（アクティバート）"
NP	"B01AD11 ·テネクテプラーゼ 抗血栓薬
メタリゼ・テネクテプラーゼ"
NP	"B01AD12 ·プロテインC 抗血栓薬
セプロチン・プロテインC"
PNP	"B01AE03・アルガトロバン 抗血栓薬
アルガトロバン・ノバスタン"
PNP	"B01AE07ダビガトランエテキシラート 抗血栓薬
アバガット·アンダブラ·ビゲトラ·ダビガトラン·ダビガトラン エテクシラット·ダビガトラネテキシラット·ダネンゴ·ダロクソム·ダザンロ·グリベロ·ミレクサン·ミスバディ·プラビクサン·プラダクサ·シアンタ·テレクサー·トゥクサヌバ·ワセドック·ザリ"
PNP	"B01AF01・リバーロキサバン 抗血栓薬
アグブロン、アクサルトラ、バルソヴィ、ベヴィムラール、ブロメンシー、ディウライス、ドベクア、エルマルディア、エンキア、カルダトゥサン、マントレーダ、ミブレックス、ミレバックス、ナバクソール、オデロ、ラザルショ、リヴァディア、リバヒブ、リヴァノプティム、リヴァロクサバン、リヴァロルト、リヴァロキサバン、リヴァクサ、リヴァクサー、リヴァータクソ·リクサカム·ロンビダックス·ルナプラックス·リュワロクサバン·シンバン·ヴィクサルジオ·ザボプラックス·ザニルヴァ·チャレルト·ゼルドクソ·シルテス·ザリクサ"
PNP	"B01AF02 ·アピキサバン 抗血栓薬
アバティセント·アボキソーマ·アピクロデム·アピクサバン·アピノプティム·アピノビア·アピキサバン·アピキサバナム·アピキセリン·アピクスレット·アポビレン·アヴァサン·アボクロド·アキシピオ·バンシオール·バクシレン·シズボール·エリヒブ·エリキュース·エンバヴィ·エリンポックス·フィドコ·モディラン·ピバクシン· Picsava · Poltixa · Prubdaq · Sebuss · Sewab · Sislaf · Treftenin · Voziberin · Vyselik · Zelinared · Zvelga"
PNP	"B01AX05 ·フォンダパリヌクス 抗血栓薬
アリクストラ・フォンダパリヌクス"
NP	"B02AA02 ·トラネキサム酸 止血剤
カプリロン·シクロカプロン·シクロノバ·デポリウム·エクサシル·ハイシャ·クワス・トラネクサモウィ·ピレサム·トラカフォー·トラネクサムシル·トラネキサム酸·トラネキサムシアー·トラネクカビ·トラキシドット"
NP	"B02AB01・アプロチニン 止血剤
アプロチニン・トラシロール"
NP	"B02BA01 ·フィトメナジオン系 止血剤
フィトメナジオン・カビット・コナキオン・メナジオン・フィトメナジオン・ビタコン"
NP	"B02BC09エピネフリン系 止血剤
アドレナリン"
NP	"B02BD02 ·凝固因子VIII 抗出血薬
アドベイト·アディノヴィ·アフスティラ·アルトゥヴォクト· ベリアテ·エロクタ·エモクロット·エスペロクト·ヘモクチン·ヘリキサート·イミュネート·ジビ·コアグラジョンファクトール Viii ·コジェネート·コヴァルトリー·ノボエイト·ヌウィク·オクタネート·ファーマベート·リファクト·ヴィフーマ"
NP	"B02BD03 ·第VIII因子阻害物質バイパス活性 抗出血薬
Faktor Viii-阻害剤バイパス-アクティビテット·フェイバ"
NP	"B02BD04 ·凝固因子IX 抗出血薬
アルプロリックス、ベネフィックス、ベータファクト、イデルビオン、イミュニン、コアギュラションスファクターix、ナノフィックス、オクタニン、オプティベート、リフィクシア、リクシビス"
NP	"B02BD06 ·フォン・ヴィルブランド因子と凝固因子VIIIの配合剤 止血剤
Fanhdi · Haemate · Haemwill · Voncento · Wilate · Wilnativ"
NP	"B02BD08 ·凝固因子VIia 抗出血薬
セヴェンファクタ·コアグラジョンファクトル ヴィア·ノボセブン"
PNP	"B03AA02 ·フマル酸第一鉄 抗貧血剤
Jern c · Jern(ii)Fumarat"
PNP	"B03AA03 ·グルコン酸第一鉄 抗貧血剤
アスコファー・ジャーン(ii)グルコナート"
PNP	"B03AA06 ·コハク酸第一鉄 抗貧血剤
Jern(ii)Suksinat"
PNP	"B03AA07 ·硫酸第一鉄 抗貧血剤
デュロフェロン·フェロ·フェロマックス·ジャーン(ii)硫酸塩·ニコプラス フェロ-リタード·レタファー ·ソルビファー·タルディフェロン·タルディフェロン-フォル·タルディソル"
PNP	"B03AE10 ·各種配合 抗貧血剤
多様なコンビナショナー・ソルビファー"
NP	"B03BA01 ·シアノコバラミン 抗貧血剤
b12-ビタミンb12、ベヘパン、ベトルバン、ベトルベックス、ベトルビドン、ベビタン、コバラキシン、シアノコバラミン、シアノコバラミン、エネルガンマ、オプトバイトb12、パーマドーズ、ビタミンb12、ビタミンb12"
NP	"B03BA02 ·シアノコバラミンタンニン複合体 抗貧血剤
シアノコバラミンタンニンコンプレックス"
NP	"B03BA03 ·ヒドロキソコバラミン 抗貧血剤
コヘミン·ヒドロキソコバラミン·ヒドロキソコバラミン·ヒドロキソコバラミン·メガミルベドセ·ビベデン·ビタミンB12 ·ビタミンB12デポ注射液"
NP	"B03BB01 ·葉酸 抗貧血剤
アシドフォリコ·アシダム フォリカム·アシフォリク·ブレイデックス· フォラシド·葉酸·フォリック·フォリメット·フォリバー·フォルサン·フォルシラ·フォルシール·フォルバイト·クワス フォリオウィ"
